시군구,시설명,시설 주소,엑스(X)좌표,와이(Y)좌표
강남구,강남장애인복지관,서울시 강남구 개포로 605,127.0734721,37.49198251
강남구,성모자애복지관,서울시 강남구 헌릉로 757길 35,127.1194316,37.47058179
강남구,청음복지관,서울시 강남구 봉은사로 50길 6,127.0423671,37.50937751
강남구,충현복지관,서울시 강남구 논현로 98길 16,127.0370671,37.50370289
강남구,하상장애인복지관,서울시 강남구 개포로 613,127.0751274,37.49255412
강동구,서울장애인복지관,서울시 강동구 고덕로 201(고덕동),127.1485442,37.5562064
강동구,성분도복지관,경기도 광주시 도척면 국사봉로 159-10,127.3490545,37.31603442
강동구,홀트강동복지관,서울시 강동구 아리수로93길 41,127.1732658,37.56622133
강동구,한국시각장애인복지관,서울시 강동구 구천면로 645(상일동),127.169245,37.55110948
강북구,강북장애인종합복지관,서울시 강북구 오현로 189,127.0390723,37.62875737
강서구,강서뇌성마비복지관,서울시 강서구 방화대로 45길 69,126.8125776,37.57420432
강서구,기쁜우리복지관,서울시 강서구 허준로65,126.8486738,37.56938957
강서구,늘푸른나무복지관,서울시 강서구 허준로5길 37,126.8510978,37.56854816
관악구,실로암시각장애인복지관,서울시 관악구 남부순환로 1717,126.9410996,37.48294247
관악구,관악구장애인종합복지관,서울시 관악구 남부순환로 1914,126.961856,37.47744079
광진구,정립회관,서울시 광진구 워커힐로93,127.0979185,37.55053287
구로구,에덴장애인종합복지관,서울시 구로구 고척로21가길 84-35,126.8412046,37.50118025
구로구,성프란치스꼬장애인종합복지관,서울시 구로구 남부순환로 105라길 25-10,126.8905633,37.48180352
금천구,금천장애인종합복지관,서울시 금천구 시흥대로 101길 17,126.8963316,37.46397165
노원구,서울노원시각장애인복지관,서울시 노원구 덕릉로70가길 98,127.0564869,37.64207087
노원구,서울시립뇌성마비복지관,서울시 노원구 덕릉로 70가길 96,127.0565722,37.64249504
노원구,다운복지관,서울시 노원구 화랑로478,127.0803063,37.61893979
노원구,북부장애인종합복지관,서울시 노원구 덕릉로70가길 92,127.0569683,37.64253424
노원구,서울시립상이군경복지관,서울시 노원구 덕릉로70가길 73,127.0576333,37.64281887
노원구,성민복지관,서울시 노원구 노원로 32길 30-3,127.0693375,37.65562526
도봉구,도봉장애인종합복지관,서울시 도봉구 마들로 664-23,127.0476511,37.66942743
동대문구,구립동대문장애인종합복지관,"서울시 동대문구 청계천로 521, 3층",127.0340525,37.57181572
동대문구,동문장애인복지관,서울시 동대문구 장안벚꽃로7길 5,127.0731943,37.58314885
동작구,시립남부장애인종합복지관,"서울시 동작구 여의대방로 20길 33, 보라매공원내",126.9189173,37.49538355
동작구,시립발달장애인복지관,"서울시 동작구 여의대방로 20길 33, 보라매공원내",126.9189173,37.49538355
동작구,삼성소리샘복지관,서울시 동작구 양녕로30길 19-4,126.9466722,37.49919311
마포구,마포장애인종합복지관,서울시 마포구 성산로 128,126.908442,37.56401883
서대문구,시립서대문농아인복지관,서울시 서대문구 수색로 4가길23,126.913801,37.57069982
서대문구,서대문장애인종합복지관,서울시 서대문구 북아현로 24,126.9570419,37.55947486
서초구,사랑의복지관,서울시 서초구 강남대로 65길 19,127.0239976,37.49983838
서초구,서초구립한우리정보문화센터,서울시 서초구 남부순환로340길15,127.0250089,37.48205085
성동구,성동장애인종합복지관,서울시 성동구 청계천로 506,127.0334391,37.57022486
성북구,성북시각장애인복지관,서울시 성북구 동소문로 25가길 20,127.0192309,37.59539109
성북구,성북장애인복지관,서울시 성북구 화랑로 130,127.0457249,37.60460036
송파구,방이복지관,서울시 송파구 오금로11길 68,127.1141865,37.51464964
송파구,서울시각장애인복지관,서울시 송파구 삼학사로 19길 27,127.0940639,37.50611741
송파구,송파인성장애인복지관,서울시 송파구 마천로61길 26,127.1551768,37.49389162
양천구,양천장애인종합복지관,서울시 양천구 목동동로159,126.8699093,37.51989333
영등포구,시립영등포장애인복지관,서울시 영등포구 버드나루로 22,126.9129054,37.52085507
용산구,구립용산장애인복지관,서울시 용산구 효창원로93길 49,126.9615681,37.54730558
은평구,서부장애인종합복지관,서울시 은평구 갈현로 11길 30,126.9063398,37.60564517
종로구,종로장애인복지관,서울시 종로구 자하문로 89,126.9699696,37.58402442
중구,서울특별시중구장애인복지관,서울시 중구 퇴계로 460,127.0227859,37.56509143
중랑구,원광장애인종합복지관,서울시 중랑구 신내로56,127.0959208,37.60447238
